penetration,installed_ev,installed_pv,violation,reason,location,value,search_step,mc_run
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.76944548244494,5,24
0.078125,0.044,0,False,,,,6,24
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.90000603511635,0,25
0.5,0.3080000000000001,0,True,Line Overloading,36.0,103.95589767781472,1,25
0.25,0.154,0,True,Transformer Overloading,0.0,129.57459420463059,2,25
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.71738475883971,3,25
0.0625,0.044,0,False,,,,4,25
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.74834980122291,5,25
0.078125,0.044,0,False,,,,6,25
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.89992221059236,0,26
0.5,0.3080000000000001,0,True,Line Overloading,36.0,110.70069168544599,1,26
0.25,0.154,0,True,Transformer Overloading,0.0,129.18479813310114,2,26
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.5817717456185,3,26
0.0625,0.044,0,False,,,,4,26
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.78110550339896,5,26
0.078125,0.044,0,False,,,,6,26
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.90002442882957,0,27
0.5,0.3080000000000001,0,True,Line Overloading,36.0,111.27016304298074,1,27
0.25,0.154,0,True,Transformer Overloading,0.0,129.2469761898615,2,27
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.53453514585958,3,27
0.0625,0.044,0,False,,,,4,27
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.6442997450547,5,27
0.078125,0.044,0,False,,,,6,27
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.90003162520622,0,28
0.5,0.3080000000000001,0,True,Line Overloading,36.0,102.98178469996773,1,28
0.25,0.154,0,True,Transformer Overloading,0.0,129.0164404086966,2,28
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.42511745871315,3,28
0.0625,0.044,0,False,,,,4,28
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.59741106834159,5,28
0.078125,0.044,0,False,,,,6,28
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.90004616160547,0,29
0.5,0.3080000000000001,0,True,Transformer Overloading,0.0,171.75923895659545,1,29
0.25,0.154,0,True,Transformer Overloading,0.0,129.1349333066345,2,29
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.68104426078511,3,29
0.0625,0.044,0,True,Transformer Overloading,0.0,100.0660053143529,4,29
0.03125,0.022,0,False,,,,5,29
0.046875,0.033,0,False,,,,6,29
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.9000171432755,0,30
0.5,0.3080000000000001,0,True,Transformer Overloading,0.0,171.39575029558108,1,30
0.25,0.154,0,True,Transformer Overloading,0.0,129.39517066542246,2,30
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.68646693622779,3,30
0.0625,0.044,0,False,,,,4,30
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.91634445050335,5,30
0.078125,0.044,0,False,,,,6,30
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.90012111318174,0,31
0.5,0.3080000000000001,0,True,Line Overloading,36.0,116.15002646685915,1,31
0.25,0.154,0,True,Transformer Overloading,0.0,129.7604322340126,2,31
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.69721149919916,3,31
0.0625,0.044,0,False,,,,4,31
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.70959840438026,5,31
0.078125,0.044,0,False,,,,6,31
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.89998256016318,0,32
0.5,0.3080000000000001,0,True,Transformer Overloading,0.0,171.86409931051833,1,32
0.25,0.154,0,True,Transformer Overloading,0.0,129.72687674235362,2,32
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.96555627419811,3,32
0.0625,0.044,0,False,,,,4,32
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.852307802454,5,32
0.078125,0.044,0,False,,,,6,32
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.899953963589,0,33
0.5,0.3080000000000001,0,True,Line Overloading,36.0,123.81824625547952,1,33
0.25,0.154,0,True,Transformer Overloading,0.0,129.3569121801613,2,33
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.65038863666211,3,33
0.0625,0.044,0,False,,,,4,33
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.76146338350767,5,33
0.078125,0.044,0,False,,,,6,33
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.8999766784968,0,34
0.5,0.3080000000000001,0,True,Line Overloading,36.0,118.31135122260304,1,34
0.25,0.154,0,True,Transformer Overloading,0.0,129.47484496971808,2,34
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.70686866736645,3,34
0.0625,0.044,0,False,,,,4,34
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.64900674176151,5,34
0.078125,0.044,0,False,,,,6,34
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.8999955314896,0,35
0.5,0.3080000000000001,0,True,Transformer Overloading,0.0,171.61257308505046,1,35
0.25,0.154,0,True,Transformer Overloading,0.0,129.2555731882717,2,35
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.39243305679842,3,35
0.0625,0.044,0,False,,,,4,35
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.65906032506071,5,35
0.078125,0.044,0,False,,,,6,35
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.9000597141604,0,36
0.5,0.3080000000000001,0,True,Line Overloading,36.0,112.45659241049835,1,36
0.25,0.154,0,True,Transformer Overloading,0.0,129.75651844573187,2,36
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.87204458770871,3,36
0.0625,0.044,0,False,,,,4,36
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.93515443370667,5,36
0.078125,0.044,0,False,,,,6,36
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.90006687261996,0,37
0.5,0.3080000000000001,0,True,Transformer Overloading,0.0,171.4566155096439,1,37
0.25,0.154,0,True,Transformer Overloading,0.0,129.41486628826922,2,37
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.49741258658754,3,37
0.0625,0.044,0,False,,,,4,37
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.66317726084499,5,37
0.078125,0.044,0,False,,,,6,37
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.8999689567334,0,38
0.5,0.3080000000000001,0,True,Transformer Overloading,0.0,171.80456103564728,1,38
0.25,0.154,0,True,Transformer Overloading,0.0,129.68486198921786,2,38
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.57690430653855,3,38
0.0625,0.044,0,False,,,,4,38
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.67903589919409,5,38
0.078125,0.044,0,False,,,,6,38
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.8999977383448,0,39
0.5,0.3080000000000001,0,True,Transformer Overloading,0.0,171.86809963199593,1,39
0.25,0.154,0,True,Transformer Overloading,0.0,129.55561698804098,2,39
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.6774797857139,3,39
0.0625,0.044,0,False,,,,4,39
